query	evalue	COG_category	Description	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	PFAMs
CAJ66883.2	1.50E-91	J	"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit"	ko:K02950	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosom_S12_S23
CAJ66884.1	5.66E-106	J	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA"	ko:K02992	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_S7
CAJ66885.1	0	J	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome"	ko:K02355	-	-	-	-	"ko00000,ko03012,ko03029"	-	"EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2"
CAJ66886.1	2.27E-289	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	ko:K02358	-	-	-	-	"ko00000,ko03012,ko03029,ko04147"	-	"GTP_EFTU,GTP_EFTU_D2,GTP_EFTU_D3"
CAJ66887.1	1.18E-66	J	Involved in the binding of tRNA to the ribosomes	ko:K02946	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_S10
CAJ66888.1	1.70E-142	J	"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit"	ko:K02906	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L3
CAJ66889.2	6.64E-139	J	Forms part of the polypeptide exit tunnel	ko:K02926	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L4
CAJ66890.1	6.30E-61	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	ko:K02892	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L23
CAJ66891.1	4.88E-198	J	"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"	ko:K02886	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"Ribosomal_L2,Ribosomal_L2_C"
CAJ66892.1	1.24E-61	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	ko:K02965	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_S19
CAJ66893.1	5.61E-71	J	"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome"	ko:K02890	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L22
CAJ66894.1	2.49E-168	J	"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation"	ko:K02982	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"KH_2,Ribosomal_S3_C"
CAJ66895.1	8.99E-99	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	ko:K02878	"ko03010,map03010"	M00178	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L16
CAJ66896.1	1.03E-37	J	Belongs to the universal ribosomal protein uL29 family	ko:K02904	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L29
CAJ66897.1	3.79E-52	J	"One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA"	ko:K02961	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_S17
CAJ66898.1	5.15E-79	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	ko:K02874	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L14
CAJ66899.2	1.98E-64	J	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit	ko:K02895	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"KOW,ribosomal_L24"
CAJ66900.1	1.50E-124	J	"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits"	ko:K02931	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"Ribosomal_L5,Ribosomal_L5_C"
CAJ66901.1	8.27E-39	J	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site"	ko:K02954	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_S14
CAJ66902.1	5.59E-90	J	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"	ko:K02994	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_S8
CAJ66903.1	2.13E-124	J	"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center"	ko:K02933	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L6
CAJ66904.1	3.49E-77	J	"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance"	ko:K02881	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	Ribosomal_L18p
CAJ66905.1	2.95E-112	J	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body	ko:K02988	"ko03010,map03010"	"M00178,M00179"	-	-	"br01610,ko00000,ko00001,ko00002,ko03011"	-	"Ribosomal_S5,Ribosomal_S5_C"
